cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
520005;5200050;Abadia de Goiás;GO;19128;4;213;18.779342723004696;2021
520010;5200100;Abadiânia;GO;17232;2;182;10.989010989010989;2021
520013;5200134;Acreúna;GO;21568;2;239;8.368200836820083;2021
520015;5200159;Adelândia;GO;2297;0;24;0.0;2021
520017;5200175;Água Fria de Goiás;GO;4954;1;49;20.408163265306122;2021
520020;5200209;Água Limpa;GO;1858;1;17;58.8235294117647;2021
520025;5200258;Águas Lindas de Goiás;GO;225693;36;3094;11.635423400129282;2021
520030;5200308;Alexânia;GO;27008;5;398;12.56281407035176;2021
520050;5200506;Aloândia;GO;1973;0;17;0.0;2021
520055;5200555;Alto Horizonte;GO;6072;0;115;0.0;2021
520060;5200605;Alto Paraíso de Goiás;GO;10306;2;141;14.184397163120567;2021
520080;5200803;Alvorada do Norte;GO;8446;3;131;22.900763358778626;2021
520082;5200829;Amaralina;GO;3268;0;20;0.0;2021
520085;5200852;Americano do Brasil;GO;5259;0;82;0.0;2021
520090;5200902;Amorinópolis;GO;3007;0;25;0.0;2021
520110;5201108;Anápolis;GO;398869;62;5671;10.932816081819785;2021
520120;5201207;Anhanguera;GO;924;0;7;0.0;2021
520130;5201306;Anicuns;GO;18503;8;208;38.46153846153847;2021
520140;5201405;Aparecida de Goiânia;GO;527796;100;7218;13.854253255749516;2021
520145;5201454;Aparecida do Rio Doce;GO;2907;0;20;0.0;2021
520150;5201504;Aporé;GO;4325;1;69;14.492753623188406;2021
520160;5201603;Araçu;GO;3799;0;23;0.0;2021
520170;5201702;Aragarças;GO;18390;6;221;27.149321266968325;2021
520180;5201801;Aragoiânia;GO;11890;3;155;19.35483870967742;2021
520215;5202155;Araguapaz;GO;7153;0;38;0.0;2021
520235;5202353;Arenópolis;GO;2946;0;30;0.0;2021
520250;5202502;Aruanã;GO;8300;0;99;0.0;2021
