cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
521390;2021;GO;Mossâmedes;4654;0.0;97.95918367346938;0.42973785990545765;83.6734693877551;12.068965517241379;8.594757198109154
521390;2022;GO;Mossâmedes;4654;0.0;84.375;0.42973785990545765;78.125;2.857142857142857;2.1486892995272884
521400;2021;GO;Mozarlândia;14750;0.0;77.14285714285715;0.13559322033898305;81.63265306122449;0.0;16.271186440677965
521400;2022;GO;Mozarlândia;14750;0.0;78.49056603773586;0.13559322033898305;85.66037735849056;0.9345794392523363;8.135593220338983
521405;2021;GO;Mundo Novo;6189;0.0;97.84946236559139;0.3231539828728389;82.79569892473118;3.125;53.32040717401841
521405;2022;GO;Mundo Novo;6189;11.494252873563218;87.35632183908046;0.3231539828728389;81.60919540229885;0.0;40.394247859104865
521410;2021;GO;Mutunópolis;3564;0.0;51.92307692307693;0.5611672278338945;86.53846153846155;10.0;8.417508417508417
521410;2022;GO;Mutunópolis;3564;38.46153846153847;67.3076923076923;0.5611672278338945;86.53846153846155;0.0;33.67003367003367
521440;2021;GO;Nazário;8189;12.195121951219512;69.51219512195121;0.24423006472096714;69.51219512195121;1.0416666666666665;1.2211503236048358
521440;2022;GO;Nazário;8189;0.0;70.58823529411765;0.24423006472096714;74.11764705882354;0.0;3.6634509708145075
521450;2021;GO;Nerópolis;31932;12.84796573875803;82.01284796573876;0.0626330953275711;84.36830835117773;0.32573289902280134;4.384316672929977
521450;2022;GO;Nerópolis;31932;18.09954751131222;86.42533936651584;0.0626330953275711;83.0316742081448;0.43478260869565216;9.70812977577352
521460;2021;GO;Niquelândia;34964;12.077294685990339;66.90821256038647;0.05720169317011784;66.90821256038647;4.658385093167702;18.30454181443771
521460;2022;GO;Niquelândia;34964;13.227513227513226;68.25396825396825;0.05720169317011784;73.54497354497354;1.7482517482517483;26.598787324104794
521470;2021;GO;Nova América;2337;0.0;73.68421052631578;0.8557980316645272;57.89473684210527;0.0;0.0
521470;2022;GO;Nova América;2337;66.66666666666667;73.33333333333333;0.8557980316645272;73.33333333333333;0.0;12.836970474967906
521480;2021;GO;Nova Aurora;2101;0.0;76.47058823529412;0.9519276534983341;58.82352941176471;3.8461538461538463;0.0
521480;2022;GO;Nova Aurora;2101;45.45454545454545;77.27272727272727;0.9519276534983341;81.81818181818183;0.0;4.75963826749167
521483;2021;GO;Nova Crixás;12815;6.0606060606060606;73.33333333333333;0.15606710885680844;93.93939393939394;5.434782608695652;110.80764728833398
521483;2022;GO;Nova Crixás;12815;0.0;57.6271186440678;0.15606710885680844;95.48022598870057;3.75;110.80764728833398
521486;2021;GO;Nova Glória;8310;0.0;63.888888888888886;0.24067388688327315;66.66666666666666;1.9417475728155338;8.42358604091456
521486;2022;GO;Nova Glória;8310;11.76470588235294;62.35294117647059;0.24067388688327315;67.05882352941175;1.2658227848101267;9.626955475330925
521487;2021;GO;Nova Iguaçu de Goiás;3010;0.0;77.14285714285715;0.33222591362126247;88.57142857142857;0.0;0.0
521487;2022;GO;Nova Iguaçu de Goiás;3010;52.63157894736842;63.1578947368421;0.33222591362126247;86.8421052631579;0.0;0.0
