cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
170388;1703883;Carmolândia;TO;2201;13;0;0.0;0.0;2022
170389;1703891;Carrasco Bonito;TO;3318;29;1;3.4482758620689653;3.013863773357444;2022
170390;1703909;Caseara;TO;4847;19;1;5.263157894736842;2.0631318341242006;2022
170410;1704105;Centenário;TO;2131;16;0;0.0;0.0;2022
170460;1704600;Chapada de Areia;TO;1501;7;0;0.0;0.0;2022
170510;1705102;Chapada da Natividade;TO;3117;23;0;0.0;0.0;2022
170550;1705508;Colinas do Tocantins;TO;34233;224;1;0.4464285714285714;0.2921157947010195;2022
170555;1705557;Combinado;TO;4756;37;0;0.0;0.0;2022
170560;1705607;Conceição do Tocantins;TO;3887;25;3;12.0;7.718034473887317;2022
170600;1706001;Couto Magalhães;TO;5331;40;1;2.5;1.8758206715438004;2022
170610;1706100;Cristalândia;TO;6371;51;4;7.8431372549019605;6.278449223041909;2022
170625;1706258;Crixás do Tocantins;TO;1470;13;0;0.0;0.0;2022
170650;1706506;Darcinópolis;TO;5827;35;1;2.857142857142857;1.7161489617298782;2022
170700;1707009;Dianópolis;TO;17739;120;0;0.0;0.0;2022
170710;1707108;Divinópolis do Tocantins;TO;7024;44;0;0.0;0.0;2022
170720;1707207;Dois Irmãos do Tocantins;TO;6327;35;0;0.0;0.0;2022
170730;1707306;Dueré;TO;4248;38;2;5.263157894736842;4.708097928436911;2022
170740;1707405;Esperantina;TO;7530;64;0;0.0;0.0;2022
170755;1707553;Fátima;TO;3467;31;1;3.225806451612903;2.8843380444188056;2022
170765;1707652;Figueirópolis;TO;5211;32;3;9.375;5.757052389176742;2022
170770;1707702;Filadélfia;TO;7712;46;2;4.3478260869565215;2.5933609958506225;2022
170820;1708205;Formoso do Araguaia;TO;18881;134;3;2.2388059701492535;1.5888988930671044;2022
170825;1708254;Tabocão;TO;3455;16;0;0.0;0.0;2022
170830;1708304;Goianorte;TO;4738;34;0;0.0;0.0;2022
170900;1709005;Goiatins;TO;12433;80;8;10.0;6.434488860291161;2022
170930;1709302;Guaraí;TO;24775;150;6;4.0;2.4217961654894045;2022
170950;1709500;Gurupi;TO;85125;526;7;1.3307984790874523;0.8223201174743026;2022
170980;1709807;Ipueiras;TO;1590;9;0;0.0;0.0;2022
171050;1710508;Itacajá;TO;6819;55;4;7.2727272727272725;5.8659627511365295;2022
171070;1710706;Itaguatins;TO;5172;37;3;8.108108108108109;5.800464037122969;2022
171090;1710904;Itapiratins;TO;3577;22;1;4.545454545454546;2.795638803466592;2022
171110;1711100;Itaporã do Tocantins;TO;2404;12;0;0.0;0.0;2022
171150;1711506;Jaú do Tocantins;TO;3334;25;0;0.0;0.0;2022
171180;1711803;Juarina;TO;2243;14;0;0.0;0.0;2022
171190;1711902;Lagoa da Confusão;TO;15288;72;3;4.166666666666666;1.9623233908948197;2022
171195;1711951;Lagoa do Tocantins;TO;3516;23;2;8.695652173913043;5.688282138794084;2022
171200;1712009;Lajeado;TO;3357;23;0;0.0;0.0;2022
171215;1712157;Lavandeira;TO;1626;8;0;0.0;0.0;2022
171240;1712405;Lizarda;TO;2999;19;0;0.0;0.0;2022
171245;1712454;Luzinópolis;TO;2717;18;0;0.0;0.0;2022
171250;1712504;Marianópolis do Tocantins;TO;4615;24;0;0.0;0.0;2022
171270;1712702;Mateiros;TO;2748;13;1;7.6923076923076925;3.63901018922853;2022
171280;1712801;Maurilândia do Tocantins;TO;3095;21;0;0.0;0.0;2022
171320;1713205;Miracema do Tocantins;TO;18566;149;6;4.026845637583892;3.231713885597329;2022
