CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
26007      ATIVO              Vale Do Ipanema - PE                 VALE DO IPANEMA - PE                       Vale Do Ipanema - PE                 1
26008      ATIVO              Vale Do Ipojuca - PE                 VALE DO IPOJUCA - PE                       Vale Do Ipojuca - PE                 1
26009      ATIVO              Alto Capibaribe - PE                 ALTO CAPIBARIBE - PE                       Alto Capibaribe - PE                 1
26010      ATIVO              Medio Capibaribe - PE                MEDIO CAPIBARIBE - PE                      Medio Capibaribe - PE                1
26011      ATIVO              Garanhuns - PE                       GARANHUNS - PE                             Garanhuns - PE                       1
26012      ATIVO              Brejo Pernambucano - PE              BREJO PERNAMBUCANO - PE                    Brejo Pernambucano - PE              1
26013      ATIVO              Mata Setentrional Pernambucana - PE  MATA SETENTRIONAL PERNAMBUCANA - PE        Mata Setentrional Pernambucana - PE  1
26014      ATIVO              Vitoria De Santo Antao - PE          VITORIA DE SANTO ANTAO - PE                Vitoria De Santo Antao - PE          1
26015      ATIVO              Mata Meridional Pernambucana - PE    MATA MERIDIONAL PERNAMBUCANA - PE          Mata Meridional Pernambucana - PE    1
26016      ATIVO              Itamaraca - PE                       ITAMARACA - PE                             Itamaraca - PE                       1
26017      ATIVO              Recife - PE                          RECIFE - PE                                Recife - PE                          1
26018      ATIVO              Suape - PE                           SUAPE - PE                                 Suape - PE                           1
26019      ATIVO              Fernando De Noronha - PE             FERNANDO DE NORONHA - PE                   Fernando De Noronha - PE             1
27000      IGNOR              Municipio Ignorado - Al -            MUNICIPIO IGNORADO - AL -                  Municipio Ignorado - Al -            8
27001      ATIVO              Serrana Do Sertao Alagoano - AL      SERRANA DO SERTAO ALAGOANO - AL            Serrana Do Sertao Alagoano - AL      1
27002      ATIVO              Alagoana Do Sertao Do Sao Francisco -ALAGOANA DO SERTAO DO SAO FRANCISCO - AL   Alagoana Do Sertao Do Sao Francisco -1
27003      ATIVO              Santana Do Ipanema - AL              SANTANA DO IPANEMA - AL                    Santana Do Ipanema - AL              1
27004      ATIVO              Batalha - AL                         BATALHA - AL                               Batalha - AL                         1
27005      ATIVO              Palmeira Dos Indios - AL             PALMEIRA DOS INDIOS - AL                   Palmeira Dos Indios - AL             1
27006      ATIVO              Arapiraca - AL                       ARAPIRACA - AL                             Arapiraca - AL                       1
27007      ATIVO              Traipu - AL                          TRAIPU - AL                                Traipu - AL                          1
27008      ATIVO              Serrana Dos Quilombos - AL           SERRANA DOS QUILOMBOS - AL                 Serrana Dos Quilombos - AL           1
27009      ATIVO              Mata Alagoana - AL                   MATA ALAGOANA - AL                         Mata Alagoana - AL                   1
27010      ATIVO              Litoral Norte Alagoano - AL          LITORAL NORTE ALAGOANO - AL                Litoral Norte Alagoano - AL          1
27011      ATIVO              Maceio - AL                          MACEIO - AL                                Maceio - AL                          1
27012      ATIVO              Sao Miguel Dos Campos - AL           SAO MIGUEL DOS CAMPOS - AL                 Sao Miguel Dos Campos - AL           1
27013      ATIVO              Penedo - AL                          PENEDO - AL                                Penedo - AL                          1
